                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87386,                 3.0498,                  1.049,                0.00278,                0.83333,                0.00755,                0.00367,                0.98127,                 4.0942,                0.95917,                 0.0793,                 0.0023,                 0.0023
                      1,                  0.985,                 1.7697,                 1.0622,                0.00278,                0.83333,                0.33804,                0.30321,                0.91572,                 3.6069,                0.88512,               0.057653,              0.0046535,              0.0046535
                      2,                0.96907,                 1.3952,                 1.0243,                0.00333,                      1,                0.30149,                0.18702,                 1.0739,                 3.1591,                0.90407,               0.035959,              0.0069594,              0.0069594
                      3,                 1.0087,                 1.4266,                 1.0854,                0.43744,                0.27078,                0.63428,                0.49841,                0.92659,                 2.5817,                0.91668,               0.014218,              0.0092178,              0.0092178
                      4,                  1.051,                 1.3223,                  1.071,                  0.747,                0.66667,                0.71093,                0.38207,                 1.4808,                 2.2839,                 1.2379,               0.009604,               0.009604,               0.009604
                      5,                 1.1014,                 1.3217,                 1.1079,                0.72713,                    0.5,                0.51707,                0.22395,                 1.5197,                  2.533,                 1.2295,               0.009604,               0.009604,               0.009604
                      6,                 1.0829,                 1.2782,                 1.0992,                      1,                 0.6621,                 0.9125,                0.45572,                 1.1794,                  1.708,                 0.9795,               0.009505,               0.009505,               0.009505
                      7,                  1.074,                 1.2515,                 1.0917,                0.59547,                0.98301,                0.81058,                0.48132,                  1.404,                 1.7994,                 1.1407,               0.009406,               0.009406,               0.009406
                      8,                 1.1081,                 1.2232,                 1.1003,                0.64735,                      1,                  0.885,                0.58461,                 1.2281,                 1.4981,                 1.0884,               0.009307,               0.009307,               0.009307
                      9,                 1.0736,                 1.1449,                 1.0851,                0.37198,                0.69288,                0.49166,                0.27239,                 1.5355,                 2.5029,                 1.1059,               0.009208,               0.009208,               0.009208
